# Test: Metal Detector Battery Discharge Test
# Date: 2026-01-21 11:27:26
# Threshold: 6.0V
# Pass criteria: > 100 min
#
elapsed_seconds,elapsed_minutes,voltage_V
0.0,0.000,9.2417
1.0,0.017,9.2235
2.0,0.033,9.2344
3.0,0.050,9.2598
4.0,0.067,9.2562
5.0,0.083,9.2344
6.0,0.100,9.2562
7.0,0.117,9.2489
8.0,0.133,9.2489
9.0,0.150,9.2489
10.0,0.167,9.2199
11.0,0.183,9.2344
12.0,0.200,9.2453
13.0,0.217,9.2489
14.0,0.233,9.2453
15.0,0.250,9.2163
16.0,0.267,9.2562
17.0,0.283,9.2489
18.0,0.300,9.2707
19.0,0.317,9.2453
20.0,0.333,9.2344
21.0,0.350,9.2381
